Spot Count: 1759

No, X, Y, Spot Intensity, Area, Perimeter, Intensity_Raw
1, 1675, 41, 919, 23, 14.2, 569
2, 3270, 54, 4023, 34, 18.0, 3069
3, 3075, 66, 931, 24, 14.6, 679
4, 2005, 308, 1145, 25, 15.3, 791
5, 3886, 322, 1365, 20, 13.4, 871
6, 894, 330, 523, 35, 18.6, 1006
7, 251, 339, 348, 30, 18.7, 679
8, 553, 433, 574, 35, 19.8, 1682
9, 208, 450, 505, 24, 14.5, 621
10, 203, 477, 1015, 23, 14.1, 1014
11, 225, 489, 813, 21, 12.7, 843
12, 190, 500, 370, 23, 14.2, 750
13, 182, 510, 449, 24, 14.5, 672
14, 216, 516, 453, 26, 16.7, 688
15, 3652, 603, 1639, 32, 17.0, 1443
16, 40, 618, 448, 21, 12.7, 662
17, 327, 663, 359, 23, 14.2, 642
18, 350, 668, 462, 21, 13.9, 645
19, 363, 671, 272, 25, 15.4, 587
20, 686, 682, 378, 23, 14.1, 952
21, 2476, 757, 714, 31, 17.4, 659
22, 2576, 774, 945, 20, 12.6, 608
23, 741, 786, 321, 25, 15.2, 778
24, 285, 877, 577, 20, 12.7, 799
25, 305, 892, 501, 28, 16.8, 910
26, 273, 921, 482, 19, 12.2, 836
27, 424, 927, 365, 23, 14.1, 714
28, 440, 938, 502, 22, 14.9, 728
29, 1379, 964, 752, 29, 17.1, 1282
30, 474, 966, 417, 22, 14.1, 891
31, 452, 976, 345, 27, 16.6, 766
32, 2313, 1128, 398, 22, 13.4, 630
33, 254, 1134, 349, 29, 19.0, 687
34, 1797, 1141, 500, 30, 16.7, 1183
35, 219, 1151, 406, 19, 12.6, 711
36, 220, 1168, 301, 28, 16.0, 639
37, 3070, 1190, 718, 20, 12.6, 562
38, 257, 1194, 516, 20, 13.2, 740
39, 236, 1203, 330, 24, 14.7, 701
40, 223, 1210, 333, 22, 13.4, 549
41, 244, 1212, 467, 25, 14.8, 591
42, 2218, 1217, 534, 24, 15.3, 897
43, 1686, 1224, 351, 22, 13.4, 608
44, 1714, 1226, 341, 21, 13.3, 646
45, 2240, 1226, 411, 26, 16.8, 547
46, 2220, 1236, 507, 33, 20.6, 889
47, 2237, 1237, 343, 25, 17.0, 646
48, 353, 1273, 438, 21, 12.7, 578
49, 4084, 1282, 625, 24, 14.7, 542
50, 768, 1285, 253, 34, 18.7, 656
51, 1712, 1294, 405, 33, 18.7, 655
