Spot Count: 5927

No, X, Y, Spot Intensity, Area, Perimeter, Intensity_Raw
1, 72, 23, 472, 41, 21.5, 932
2, 84, 32, 559, 50, 26.1, 991
3, 97, 45, 498, 45, 21.5, 923
4, 64, 46, 353, 48, 22.2, 605
5, 110, 55, 646, 31, 17.4, 1023
6, 3999, 59, 528, 52, 25.1, 597
7, 88, 76, 335, 29, 16.2, 738
8, 98, 83, 372, 22, 13.4, 688
9, 47, 162, 347, 42, 22.9, 1127
10, 60, 163, 578, 36, 20.2, 1365
11, 30, 174, 338, 33, 18.7, 978
12, 70, 174, 1287, 29, 16.0, 1724
13, 21, 184, 454, 35, 18.2, 819
14, 73, 186, 510, 35, 18.2, 1169
15, 54, 188, 278, 53, 25.4, 885
16, 98, 195, 992, 35, 19.2, 1534
17, 69, 204, 456, 43, 21.7, 939
18, 106, 206, 820, 33, 17.3, 1329
19, 22, 213, 976, 40, 20.0, 1452
20, 48, 216, 352, 42, 22.0, 880
21, 83, 217, 1086, 42, 20.7, 1644
22, 33, 224, 1136, 62, 28.4, 1630
23, 94, 226, 767, 37, 19.2, 1328
24, 76, 230, 704, 41, 19.9, 1207
25, 49, 238, 1271, 39, 20.3, 1563
26, 88, 240, 407, 41, 19.7, 899
27, 72, 244, 359, 57, 29.4, 936
28, 276, 252, 335, 40, 19.7, 512
29, 13, 280, 1545, 37, 19.4, 1216
30, 216, 292, 774, 44, 21.9, 1192
31, 238, 294, 493, 29, 16.7, 978
32, 247, 301, 471, 44, 23.5, 1159
33, 194, 307, 263, 56, 26.7, 649
34, 257, 309, 891, 28, 16.0, 1314
35, 271, 324, 900, 33, 17.9, 1160
36, 193, 325, 1263, 36, 18.4, 1737
37, 55, 332, 676, 67, 33.4, 1112
38, 79, 332, 763, 64, 32.7, 974
39, 278, 337, 732, 37, 18.9, 888
40, 207, 338, 1635, 49, 23.4, 2259
41, 83, 346, 425, 34, 19.0, 806
42, 100, 349, 644, 38, 19.8, 778
43, 212, 351, 2202, 35, 18.4, 1615
44, 267, 363, 532, 44, 21.2, 991
45, 29, 366, 816, 38, 19.9, 1514
46, 101, 367, 832, 42, 20.6, 1101
47, 237, 368, 997, 39, 19.3, 1327
48, 253, 368, 896, 36, 21.1, 1348
49, 37, 376, 871, 42, 21.3, 1051
50, 263, 378, 775, 41, 22.0, 1172
51, 82, 379, 695, 48, 25.0, 1770
52, 253, 380, 468, 35, 20.0, 1015
53, 102, 383, 1308, 37, 20.3, 1797
54, 71, 390, 2288, 33, 18.5, 2607
55, 88, 391, 513, 62, 27.6, 1231
56, 46, 397, 301, 44, 21.9, 765
57, 103, 404, 954, 36, 18.5, 1218
58, 62, 411, 582, 27, 16.1, 957
59, 47, 415, 618, 39, 22.4, 984
60, 81, 416, 332, 46, 24.6, 1031
61, 2718, 416, 432, 30, 16.7, 361
62, 91, 429, 662, 38, 20.7, 1299
63, 81, 431, 574, 42, 20.3, 1449
64, 191, 455, 2894, 35, 18.2, 2376
65, 219, 476, 5132, 41, 19.9, 4294
66, 2970, 481, 1300, 45, 21.0, 1174
67, 2986, 483, 494, 76, 36.7, 696
68, 208, 488, 4553, 48, 21.4, 3795
69, 196, 502, 340, 43, 23.2, 1300
70, 235, 502, 2443, 31, 16.7, 2126
71, 178, 505, 1833, 29, 16.4, 2271
72, 209, 513, 907, 38, 18.6, 1186
73, 179, 519, 3794, 38, 18.9, 3511
74, 213, 530, 1936, 39, 19.4, 1862
75, 39, 564, 1077, 55, 25.8, 1852
76, 15, 573, 475, 27, 15.9, 912
77, 510, 574, 445, 47, 22.5, 864
78, 67, 589, 1670, 43, 21.2, 1842
79, 10, 596, 306, 31, 18.1, 1182
80, 47, 599, 349, 56, 26.4, 962
